snr,cqi,mcs
-3.4000000000000004,1.0,6
-3.4000000000000004,2.0,6
-3.4000000000000004,3.0,6
-3.4000000000000004,4.0,6
-3.4000000000000004,5.0,6
-3.4000000000000004,6.0,6
-3.4000000000000004,7.0,6
-3.4000000000000004,8.0,6
-3.4000000000000004,9.0,6
-3.4000000000000004,10.0,6
-3.4000000000000004,11.0,6
-3.4000000000000004,12.0,6
-3.4000000000000004,13.0,6
-3.4000000000000004,14.0,6
-3.4000000000000004,15.0,6
-3.2,0.0,6
-3.2,1.0,6
-3.2,2.0,6
-3.2,3.0,6
-3.2,4.0,6
-3.2,5.0,6
-3.2,6.0,6
-3.2,7.0,6
-3.2,8.0,6
-3.2,9.0,6
-3.2,10.0,6
-3.2,11.0,6
-3.2,12.0,6
-3.2,13.0,6
-3.2,14.0,6
-3.2,15.0,6
-3.0,0.0,6
-3.0,1.0,6
-3.0,2.0,6
-3.0,3.0,6
-3.0,4.0,6
-3.0,5.0,6
-3.0,6.0,6
-3.0,7.0,6
-3.0,8.0,6
-3.0,9.0,6
-3.0,10.0,6
-3.0,11.0,6
-3.0,12.0,6
-3.0,13.0,6
-3.0,14.0,6
-3.0,15.0,6
-2.8000000000000003,0.0,6
-2.8000000000000003,1.0,6
-2.8000000000000003,2.0,6
-2.8000000000000003,3.0,6
-2.8000000000000003,4.0,6
-2.8000000000000003,5.0,6
-2.8000000000000003,6.0,6
-2.8000000000000003,7.0,6
-2.8000000000000003,8.0,6
-2.8000000000000003,9.0,6
-2.8000000000000003,10.0,6
-2.8000000000000003,11.0,6
-2.8000000000000003,12.0,6
-2.8000000000000003,13.0,6
-2.8000000000000003,14.0,6
-2.8000000000000003,15.0,6
-2.6,0.0,6
-2.6,1.0,6
-2.6,2.0,6
-2.6,3.0,6
-2.6,4.0,6
-2.6,5.0,6
-2.6,6.0,6
-2.6,7.0,6
-2.6,8.0,6
-2.6,9.0,6
-2.6,10.0,6
-2.6,11.0,6
-2.6,12.0,6
-2.6,13.0,6
-2.6,14.0,6
-2.6,15.0,6
-2.4000000000000004,0.0,6
-2.4000000000000004,1.0,6
-2.4000000000000004,2.0,6
-2.4000000000000004,3.0,6
-2.4000000000000004,4.0,6
-2.4000000000000004,5.0,6
-2.4000000000000004,6.0,6
-2.4000000000000004,7.0,6
-2.4000000000000004,8.0,6
-2.4000000000000004,9.0,6
-2.4000000000000004,10.0,6
-2.4000000000000004,11.0,6
-2.4000000000000004,12.0,6
-2.4000000000000004,13.0,6
-2.4000000000000004,14.0,6
-2.4000000000000004,15.0,6
-2.2,0.0,6
-2.2,1.0,6
-2.2,2.0,6
-2.2,3.0,6
-2.2,4.0,6
-2.2,5.0,6
-2.2,6.0,6
-2.2,7.0,6
-2.2,8.0,6
-2.2,9.0,6
-2.2,10.0,6
-2.2,11.0,6
-2.2,12.0,6
-2.2,13.0,6
-2.2,14.0,6
-2.2,15.0,6
-2.0,0.0,6
-2.0,1.0,6
-2.0,2.0,6
-2.0,3.0,6
-2.0,4.0,6
-2.0,5.0,6
-2.0,6.0,6
-2.0,7.0,6
-2.0,8.0,6
-2.0,9.0,6
-2.0,10.0,6
-2.0,11.0,6
-2.0,12.0,6
-2.0,13.0,6
-2.0,14.0,6
-2.0,15.0,6
-1.8,0.0,7
-1.8,1.0,7
-1.8,2.0,7
-1.8,3.0,7
-1.8,4.0,7
-1.8,5.0,7
-1.8,6.0,7
-1.8,7.0,7
-1.8,8.0,7
-1.8,9.0,7
-1.8,10.0,7
-1.8,11.0,7
-1.8,12.0,7
-1.8,13.0,7
-1.8,14.0,7
-1.8,15.0,7
-1.6,0.0,7
-1.6,1.0,7
-1.6,2.0,7
-1.6,3.0,7
-1.6,4.0,7
-1.6,5.0,7
-1.6,6.0,7
-1.6,7.0,7
-1.6,8.0,7
-1.6,9.0,7
-1.6,10.0,7
-1.6,11.0,7
-1.6,12.0,7
-1.6,13.0,7
-1.6,14.0,7
-1.6,15.0,7
-1.4000000000000001,0.0,7
-1.4000000000000001,1.0,7
-1.4000000000000001,2.0,7
-1.4000000000000001,3.0,7
-1.4000000000000001,4.0,7
-1.4000000000000001,5.0,7
-1.4000000000000001,6.0,7
-1.4000000000000001,7.0,7
-1.4000000000000001,8.0,7
-1.4000000000000001,9.0,7
-1.4000000000000001,10.0,7
-1.4000000000000001,11.0,7
-1.4000000000000001,12.0,7
-1.4000000000000001,13.0,7
-1.4000000000000001,14.0,7
-1.4000000000000001,15.0,7
-1.2000000000000002,0.0,7
-1.2000000000000002,1.0,7
-1.2000000000000002,2.0,7
-1.2000000000000002,3.0,7
-1.2000000000000002,4.0,7
-1.2000000000000002,5.0,7
-1.2000000000000002,6.0,7
-1.2000000000000002,7.0,7
-1.2000000000000002,8.0,7
-1.2000000000000002,9.0,7
-1.2000000000000002,10.0,7
-1.2000000000000002,11.0,7
-1.2000000000000002,12.0,7
-1.2000000000000002,13.0,7
-1.2000000000000002,14.0,7
-1.2000000000000002,15.0,7
-1.0,0.0,7
-1.0,1.0,7
-1.0,2.0,7
-1.0,3.0,7
-1.0,4.0,7
-1.0,5.0,7
-1.0,6.0,7
-1.0,7.0,7
-1.0,8.0,7
-1.0,9.0,7
-1.0,10.0,7
-1.0,11.0,7
-1.0,12.0,7
-1.0,13.0,7
-1.0,14.0,7
-1.0,15.0,7
-0.8,0.0,7
-0.8,1.0,7
-0.8,2.0,7
-0.8,3.0,7
-0.8,4.0,7
-0.8,5.0,7
-0.8,6.0,7
-0.8,7.0,7
-0.8,8.0,7
-0.8,9.0,7
-0.8,10.0,7
-0.8,11.0,7
-0.8,12.0,7
-0.8,13.0,7
-0.8,14.0,7
-0.8,15.0,7
-0.6000000000000001,0.0,7
-0.6000000000000001,1.0,7
-0.6000000000000001,2.0,7
-0.6000000000000001,3.0,7
-0.6000000000000001,4.0,7
-0.6000000000000001,5.0,7
-0.6000000000000001,6.0,7
-0.6000000000000001,7.0,7
-0.6000000000000001,8.0,7
-0.6000000000000001,9.0,7
-0.6000000000000001,10.0,7
-0.6000000000000001,11.0,7
-0.6000000000000001,12.0,7
-0.6000000000000001,13.0,7
-0.6000000000000001,14.0,7
-0.6000000000000001,15.0,7
-0.4,0.0,7
-0.4,1.0,7
-0.4,2.0,7
-0.4,3.0,7
-0.4,4.0,7
